view_idx,mean_abs_diff,max_abs_diff,mean_rel,gs_sum,drr_sum
0,0.17810,2.42648,0.20830,409808.094,352555.031
23,0.18022,2.54047,0.20899,398613.375,352260.969
46,0.14164,2.70811,0.16364,391902.594,340536.281
70,0.08105,1.04978,0.10202,354878.562,326351.219
93,0.03617,1.08867,0.03802,346711.906,329515.812
116,0.07909,1.24943,0.10060,370299.031,342378.000
140,0.13858,1.36017,0.17320,400610.719,354829.562
163,0.17257,1.84816,0.20968,398414.125,357302.062
