iter,time_bj,elapsed_s,loss,psnr,ssim,lpips,visible,splats,lr_mean,grad_mean,grad_rot,grad_scale,grad_density
0,[13:00:06],3.6,NaN,15.4910,0.8952,0.6738,0,5000,0.000e0
1000,[13:00:45],42.4,0.314019,30.2771,0.9586,0.5263,5244,5250,1.262e-5,3.872e-5,2.258e-4,5.155e-4,1.805e-4
2000,[13:01:29],85.8,0.165415,28.3443,0.9515,0.5471,10009,10020,7.962e-6,1.445e-5,8.478e-5,4.110e-4,1.378e-4
3000,[13:02:19],136.2,0.164848,31.3084,0.9596,0.4577,20378,20383,5.024e-6,1.390e-5,5.658e-5,1.613e-4,5.928e-5
4000,[13:03:13],190.3,0.198489,30.3743,0.9576,0.4680,23381,23391,3.170e-6,1.274e-5,5.526e-5,2.030e-4,7.370e-5
5000,[13:04:08],245.0,0.193287,31.6763,0.9621,0.4131,24678,24701,2.000e-6,1.239e-5,5.135e-5,1.963e-4,7.293e-5
