view_idx,mean_abs_diff,max_abs_diff,mean_rel,gs_sum,drr_sum
0,0.00287,0.01802,0.00407,364739.031,364163.469
4,0.00327,0.01769,0.00529,359688.562,358510.312
9,0.00292,0.01787,0.00433,353387.906,353225.719
14,0.00279,0.02352,0.00494,319221.938,317909.500
19,0.00362,0.02860,0.00664,306450.969,304769.469
23,0.00387,0.02615,0.00586,326086.781,324284.531
28,0.01145,0.07589,0.01498,358442.312,353359.594
33,0.00392,0.03317,0.00558,360497.219,359298.125
