iter,time_bj,elapsed_s,loss,psnr,ssim,lpips,visible,splats,lr_mean,grad_mean,grad_rot,grad_scale,grad_density
0,[13:00:20],12.9,NaN,5.7838,0.1372,0.6823,0,5000,0.000e0
1000,[13:01:24],76.8,0.225762,31.6977,0.9712,0.4447,8903,8906,1.262e-5,3.712e-5,1.519e-4,2.982e-4,5.153e-5
2000,[13:02:15],128.2,0.148173,25.6367,0.9579,0.4887,19219,19501,7.962e-6,1.468e-5,5.081e-5,1.335e-4,3.387e-5
3000,[13:03:12],185.0,0.123908,36.1363,0.9780,0.3510,28603,28702,5.024e-6,1.179e-5,4.621e-5,9.713e-5,3.054e-5
4000,[13:04:19],252.6,0.094863,30.8518,0.9710,0.4179,32748,32874,3.170e-6,9.519e-6,3.566e-5,8.958e-5,3.141e-5
5000,[13:05:28],321.7,0.078196,39.7573,0.9838,0.2616,34310,34435,2.000e-6,7.980e-6,3.455e-5,8.138e-5,2.983e-5
